"","Team","Player","Age","G","MP","PER","WARP","VORP","OWS","DWS","WS","WS/48","TS%","3PAr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OBPM","DBPM","BPM","Rk","Salary_2019_to_20","Salary_2020_to_21","Salary_2021_to_22","Salary_2022_to_23","Salary_2023_to_24","Salary_2024_to_25","Signed Using","Guaranteed","Salary_Per_Million","WARP_Per","PER_Mil","BPM_Per","VORP_Per","WS_Per","Pos"
"507","New Orleans Pelicans","Frank Jackson",21,51,656,7.7,-1.89,-0.7,-0.4,0.3,-0.1,-0.005,0.5,0.467,3,8.4,5.7,8.6,1.1,0.5,13.1,20.4,-4,-2,-6,395,1618520,NA,NA,NA,NA,NA,"MLE",1618520,1.61852,-1.16773348491214,4.75743271630873,-3.70709042829251,-0.432493883300793,-0.0617848404715419,"PG"
"508","Charlotte Hornets","Dwayne Bacon",24,39,687,6.1,-2.16,-0.8,-1.2,0.4,-0.8,-0.053,0.419,0.275,2.3,14,7.9,11.7,1.7,0.3,12.2,19.5,-5.9,-0.9,-6.8,397,1618520,NA,NA,NA,NA,NA,"MLE",1618520,1.61852,-1.33455255418531,3.76887526876406,-4.20136915206485,-0.494278723772335,-0.494278723772335,"SG"
"509","Atlanta Hawks","Cam Reddish",20,58,1551,9,-2.43,-0.9,-1.2,0.8,-0.4,-0.011,0.5,0.451,2.4,12.7,7.5,8,1.9,1.5,13.6,18.9,-3.2,-1,-4.2,221,4245720,4458000,4670160,5954454,NA,NA,"1st Round Pick",8703720,4.24572,-0.572341087024109,2.119781803793,-0.989231508436732,-0.2119781803793,-0.0942125246130221,"SF"
"510","New York Knicks","RJ Barrett",19,56,1704,10.7,-2.7,-1,-1.6,1.1,-0.5,-0.015,0.479,0.271,3,14.8,8.7,12.8,1.6,0.9,12.9,24,-2.8,-1.5,-4.3,154,7839960,8231760,8623920,10900635,NA,NA,"1st Round Pick",16071720,7.83996,-0.344389512191389,1.36480288164736,-0.548472186082582,-0.127551671181996,-0.0637758355909979,"SG"
"511","Memphis Grizzlies","Dillon Brooks",24,65,1851,11.1,-2.97,-1.1,-0.3,1.3,1,0.025,0.508,0.387,3.5,8.4,6,10,1.4,1.2,9.7,25,-2.8,-1.5,-4.3,391,1618520,11400000,12200000,11400000,NA,NA,"MLE",36618520,1.61852,-1.83500976200479,6.85811729234115,-2.6567481402763,-0.679633245186961,0.617848404715419,"SG"
"512","Atlanta Hawks","De'Andre Hunter",22,63,2018,8.6,-3.78,-1.4,-0.4,0.5,0.1,0.001,0.521,0.445,2.3,13.1,7.6,8,1,0.7,12.1,17.5,-2.8,-1.8,-4.7,167,7068360,7422000,7775400,9835881,NA,NA,"1st Round Pick",14490360,7.06836,-0.534777515576456,1.21668958570305,-0.664935006140038,-0.198065746509799,0.0141475533221285,"SF"
"513","Golden State Warriors","Jordan Poole",20,57,1274,7.2,-4.05,-1.5,-1.6,0.4,-1.2,-0.047,0.454,0.528,0.7,9.6,5,15.8,1.3,0.7,11.8,21.1,-4.4,-2.2,-6.6,353,1964760,2063280,2161440,3901399,NA,NA,"1st Round Pick",4028040,1.96476,-2.06132046662188,3.66456971843889,-3.35918890856899,-0.763452024674769,-0.610761619739815,"SG"
"514","Cleveland Cavaliers","Darius Garland",20,59,1824,8.5,-4.59,-1.7,-1.3,0,-1.3,-0.035,0.498,0.423,1.6,5.2,3.4,18.5,1.1,0.2,17.1,20.7,-2.7,-2.9,-5.6,178,6400920,6720720,7040880,8920795,NA,NA,"1st Round Pick",13121640,6.40092,-0.717084419114752,1.32793410947176,-0.874874236828456,-0.265586821894353,-0.203095804978034,"PG"
"515","Washington Wizards","John Wall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,37800000,40824000,43848000,46872000,NA,NA,"Bird Rights",122472000,37.8,NA,NA,NA,NA,NA,NA
"516","Brooklyn Nets","Kevin Durant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,37199000,39058950,40918900,42778850,NA,NA,"Sign and Trade",117176850,37.199,NA,NA,NA,NA,NA,NA
"517","Detroit Pistons","Blake Griffin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,34234964,36595996,38957028,NA,NA,NA,"Bird Rights",70830960,34.234964,NA,NA,NA,NA,NA,"PF"
"518","Golden State Warriors","Klay Thompson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,32742000,35361360,37980720,40600080,43219440,NA,"Bird Rights",189903600,32.742,NA,NA,NA,NA,NA,NA
"519","Portland Trailblazers","Damian Lillard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,29802321,31626953,43750000,47250000,50750000,54250000,"1st Round Pick",257429274,29.802321,NA,NA,NA,NA,NA,"PG"
"520","Portland Trailblazers","CJ McCollum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,27556959,29354152,30864198,33333333,35802469,NA,"1st Round Pick",156911111,27.556959,NA,NA,NA,NA,NA,"SG"
"521","Minnesota Timberwolves","Karl-Anthony Towns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,27250000,29430000,31610000,33790000,35970000,NA,"1st Round Pick",155870000,27.25,NA,NA,NA,NA,NA,"C"
"522","Portland Trailblazers","Hassan Whiteside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,27093018,NA,NA,NA,NA,NA,"Cap Space",27093018,27.093018,NA,NA,NA,NA,NA,"C"
"523","Minnesota Timberwolves","Evan Turner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,18606557,NA,NA,NA,NA,NA,"Cap Space",18606557,18.606557,NA,NA,NA,NA,NA,"PG"
"524","Minnesota Timberwolves","Allen Crabbe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,17818456,NA,NA,NA,NA,NA,NA,17818456,17.818456,NA,NA,NA,NA,NA,"SG"
"525","Detroit Pistons","Reggie Jackson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,17286956,NA,NA,NA,NA,NA,NA,17286956,17.286956,NA,NA,NA,NA,NA,"PG"
"526","Utah Jazz","Bojan Bogdanovic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,1.7e+07,17850000,18700000,19550000,NA,NA,"Cap Space",73100000,17,NA,NA,NA,NA,NA,"SF"
"527","Atlanta Hawks","Clint Capela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,16456522,17500000,18543478,19586957,NA,NA,"Bird Rights",72086957,16.456522,NA,NA,NA,NA,NA,"C"
"528","Memphis Grizzliesphis Grizzlies","Gorgui Dieng",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,16229213,17287640,NA,NA,NA,NA,"1st Round Pick",33516853,16.229213,NA,NA,NA,NA,NA,"C"
"529","Memphis Grizzliesphis Grizzlies","Jonas Valanciunas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,1.6e+07,1.5e+07,1.4e+07,NA,NA,NA,"Bird Rights",4.5e+07,16,NA,NA,NA,NA,NA,NA
"530","Detroit Pistons","Brandon Knight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,15643750,NA,NA,NA,NA,NA,"Bird Rights",15643750,15.64375,NA,NA,NA,NA,NA,"PG"
